Left,Center,Right,Product,Group (3x4)
'100000000000,'011100100100,'100000000000,'000000000000,Nilpotent
'000010000000,'011100100100,'100000000000,'000000000000,Regular Zero Divisor
'000000001000,'011100100100,'100000000000,'000000000000,Regular Zero Divisor
'100000000000,'011100100100,'010000000000,'000000000000,Regular Zero Divisor
'010000000000,'011100100100,'010000000000,'010000000000,Idempotent
'000010000000,'011100100100,'010000000000,'000000000000,Regular Zero Divisor
'000000001000,'011100100100,'010000000000,'000000000000,Regular Zero Divisor
'100000000000,'011100100100,'001000000000,'000000000000,Regular Zero Divisor
'001000000000,'011100100100,'001000000000,'001000000000,Idempotent
'000010000000,'011100100100,'001000000000,'000000000000,Regular Zero Divisor
'000000001000,'011100100100,'001000000000,'000000000000,Regular Zero Divisor
'100000000000,'011100100100,'000100000000,'000000000000,Regular Zero Divisor
'000100000000,'011100100100,'000100000000,'000100000000,Idempotent
'000010000000,'011100100100,'000100000000,'000000000000,Regular Zero Divisor
'000000001000,'011100100100,'000100000000,'000000000000,Regular Zero Divisor
'010000000000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'001000000000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000100000000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000010000000,'011100100100,'000010000000,'000010000000,Idempotent
'000001000000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000000100000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000000010000,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000000000100,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000000000010,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'000000000001,'011100100100,'000010000000,'000000000000,Regular Zero Divisor
'010000000000,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'001000000000,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000100000000,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000001000000,'011100100100,'000001000000,'000000000000,Nilpotent
'000000100000,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000000010000,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000000000100,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000000000010,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'000000000001,'011100100100,'000001000000,'000000000000,Regular Zero Divisor
'010000000000,'011100100100,'000000100000,'000000000000,Regular Zero Divisor
'001000000000,'011100100100,'000000100000,'000000000000,Regular Zero Divisor
'000100000000,'011100100100,'000000100000,'000000000000,Regular Zero Divisor
'000001000000,'011100100100,'000000100000,'000000000000,Regular Zero Divisor
'000000100000,'011100100100,'000000100000,'000000000000,Nilpotent
