First Dimension,Second Dimension,Regular Zero Count,Nilpotent Count,Idempotent Count,Center Count,LeftCount,Right Count,Total Zero and Idempotent Count,Time of Output
2,2,24,8,20,7,4,4,52,Thu Mar 20 22:07:07 2025
2,3,240,48,102,25,6,6,390,Thu Mar 20 22:07:29 2025
2,4,1456,208,424,79,8,8,2088,Thu Mar 20 22:07:58 2025
2,5,7200,800,1610,241,10,10,9610,Thu Mar 20 22:08:19 2025
3,3,7488,936,1449,265,9,9,9873,Thu Mar 20 22:08:53 2025
3,4,118272,10752,15180,2161,12,12,144204,Thu Mar 20 22:09:18 2025
3,5,1428000,102000,139215,16081,15,15,1669215,Thu Mar 20 22:10:03 2025
4,4,4429920,295328,368720,41503,16,16,5093968,Thu Mar 20 22:11:21 2025
4,5,120432640,6338560,7533460,693601,20,20,134304660,Thu Mar 20 22:16:17 2025
5,5,7070764800,294615200,330332825,24997921,25,25,7695712825,Fri Mar 21 15:38:45 2025
